ig_review	sentiment
Nke a bụ ihe nkiri si n’aka Kunle Afo kacha ba uru …. Ihe nkiri a rụtụrụ aka n’isiokwu kacha mkpa n’agụmaakwụkwọ Naịjịrịa.. Akukọ ya mara mma, ọ dọrọ mmasị, emereme ya dị mma. Ihe nkiri a bụ ihe nkiri kacha mma ị ga-elere gbasara nwakpo mmekọahụ na mahadum . Hụ ya n’anya. Enwela obi abụọ. Ọ dị mma	positive
Ihe nkiri mara mma….Aka m lerepụrụ Lara na Beat na Netflix. Ihe nkiri a amaka. Ihe ngosi ya mara mma, emereme ya amaka, akụkọ dị ukwuu, egwu mara mma, ihe nkiri zuruoke ezinaụlọ ga-ele maa nwee obi ụtọ.	positive
Ọ maka…Ahụrụ m ihe niile gbasara ya n’anya. Omenala ya, asụsụ ya na egwu ya amaka .	positive
Ihe nkiri na-enye anyị mmetụta 1980s, ruo ka e si hazie emume, omume idebiga ude ịji cha ọcha, uwe, na iji damask na adire emesapụ aka	positive
Ihe nkiri amara mee. Egosipụtara agwa nke ọma. Eji ihe ịma mma na nka chọọ ya bụ ihe nkiri mma. Akụkọ ya n’agbanyeghi na onweghi ihe pụrụ iche na ya dọrọ mmasị, ma mee ka ịmụta otu ihe mọọbụ abụọ n’isiokwu akụkọ ya.	positive
"Nwepụta agba nke abụọ biko!.... Elere m ""Fifty Series” ma lekwasa Castle & Castle maka na Tola nọ na ya. Ahụrụ m ihe nkiri a n’anya ma chọọ ka enwee agba nke abụọ ya. Ihe m kpọrọ asị na ya bụ na o nyere m obinkonelu na ngwụcha ya ka a ga-asị na a na-ewepụta agba nke abụọ ya.. N’ihi ya biko wepụta agba nke abụọ!!"	positive
Ihe nkiri egwu!...Ihe nkiri a juputara n’obi mmapụ, ihe nkiri ezinaụlọ nwere obi mgbawa na akụkọ amara dee nke ọma ya na ezi ngosipụta emereme.	positive
Ọ dị mfe na-atọ ụtọ! Ihe nkiri ntọ ọchị nwere ezigbo akụkọ. Bido na ụmụnne nwaanyị banye na onye iro, ihe nkiri ekwesịrị ikiri. Agaghị m echezọ arọmarọ dị na ya pụrụ iche. Akwadoro m ya nke ọma	positive
Ha mere ihe siri ike site n’ewepụta ihe nkiri na emereme ya dị mma.	positive
Farming nwereike ọbụghị ihe nkiri amara mmepụta, mana ọ dọrọ mmasị site n’etu Damson Idris si gosipụta agwa ya. N’agbanyeghi nke ahụ, ọ ka bụ akụkọ ekwesịrị ịkọ.	positive
Ọ MAKA NNỌỌ!!!...Ihe niile gbasara ihe nkiri a amaka! Akụkọ ya, ndị agwa nọ na ya, ntuziaka enyere, nakwa ihe niile ha yi n’ahụ. Ihe nkiri a tọrọ m ụtọ. Eji m otu nkeji tachapụ popcorn m! Ihụnanya ịhụnanya ịhụnanya! Biko mepụtakwuo ihe nkiri ọhụrụ!!!	positive
Ihe nkiri metụtara obodo abụọ dị mma…. Naanị ihe m ahụghị n’anya na ya bụ na egosighi obodo Naijiria na Indịa na ya.... Ihe nkiri ịhụnanya mara mma.	positive
Ihe nkiri mara mma…Ahụrụ m ilere ihe nkiri a n’anya. O nwere nhazi akụkọ mara mma, ezi ntuziaka, Dakore na ndị agwa nọ na ya mere nke ọma. Egosipụtara omenala na nketa ndị. O tuzuruoke ịnata akara Oscar na katigori ihe emereme amaala. Ana m enye ya akara 10/10.	positive
Ihe nkiri mara mma. Wow wow wow. Nollywood agbagola.	positive
Ọ maka…Akụkọ mara mma eji nlezianya mee. Na nchịkọta, emere ihe nkiri a ọfụma.	positive
Ihe nkiri dị ukwuu si Nollywood..... Edeghi Lionheart ka ọ bụrukwa na edere ihe nkiri. Ọ gosipụtara ọtụtụ ihe na-eme na Naịjịrịa nke ga-ewe onye na-elere ya iwetu anya ala chọpụta ihe ndị ahụ.	positive
Nke abụ ihe nkiri si Nollywood kacha mma.Ọ dịka ihe nkiri si Afrịka-Amerịka pụta. Emereme ya bụ ọkaibe. Nke kacha atụ n’anya bụ na nke a bụ ihe emereme mbụ onye bụ isiagwa na ya bụ ihe nkiri. Jisie ike	positive
Ọ dịka ihe nkiri ntọ ọchị Shakespeare, nke juputara n’ihe ọchị, ezi ngosipụta agwa,na-enye nghọta ọjọọ n’etu e si emepụta mjirimara site n’esemokwu ibi ndụ obodo na nke ndị sị mba ọzọ.	positive
Ndị Naịjịrịa nọ Brooklyn… Nke a bụ ihe nkiri mara mma, o jupụtara na obinkonelu, echere echiche nke ọma wepụta ya, ọ maka.	positive
Temi Otedola rụrụ ezigbo ọrụ	positive
Daalụ maka igosipụta etu Chukwu si arụ ọrụ na ndụ anyị. Ihe nkiri a na-echetara anyị etu Chukwu si arụ ọrụ site na ndị ezughioke, ndị nwere nchegharị bụ ndị a kpọrọ ka ha rubere ya isi. Ọ na-eme nke ọzọ. Ọ kwesịri ntukwasị obi na ọ ga-emezu ihe ọ malitere. Ihe nkiri na-eto aha Chukwu. O gosipụtara ịdị mma, ebube na ike Chukwu nna, Chukwu nwa na mmụọ nsọ. Daalụ.	positive
Akụkọ ya maka…..nhịkọsị akụkọ ya amaka. O juputara n’obinkonelu. Tọ ụtọ na-adọrọ mmasị. Ọ rụtụrụ ọtụtụ aka na mkpa mkparịta ụka dị na mmekọrịta mmadụ na ibe ya. Aga m elere ya ugboro ugboro.	positive
Ahụrụ m ihe nkiri a n’anya. Elerego m ya ọtụtụ ugboro. Ana m atụanya ọrụ ọzọ na ya	positive
Omuma Naịjịrịa nke oge a.....Nollywood nwere ihe nkiri metụtara ọchịchị, efemchi, na agbụrụ maka ndị chọrọ ịgbasa nghọta ha gbasara ihe ọjọọ na-eme n’ụwa nakwa ihe mere obere obodo na Naịjịrịa ji juputa n’ihe ọjọọ. Ihe nkiri a rụtụchara ihe ndị a niile aka dịka o si mmetụta mkpụrụ obi.	positive
Ọ na-atọ ụtọ nkiri ọkacha ma ọ bụrụna ị na-aghọta asụsụ Igbo…Mana n’ozuzuoke, ọ bụ ihe nkiri dị mma..	positive
Ihe nkiri a dịka egwu agwara ọgwa ekpokọtara ya na ihe ntọ ọchị amaghị mee. O doghi anya ma ọ chọro ị bụ ihe nto ọchi mọọbu ihe nkọcha.	positive
Genevieve Nnaji gosipụtara ọzọ ihe mere o jiri bụrụ okaibe n’ihe ikiri site etu o si nye ezi ntuziaka n’ihe nkiri mbụ o mepụtara . Naanị ihe anyị pụrụ ikwu bụ jisie ike	positive
Ihe nkiri gosipụtara olilanya obodo maka sịnịma…..Ana atụ anya na ndị ọzọ na-emepụta ihe nkiri na Naịjịrịa ga-agbaso usoro a. Nke a ga-eme ka Naịjịrịa soro na ndị na-emeputa ihe nkiri n’ọdịnihu.	positive
Ọ nwere mmetụtaobi. ….Nke a mere ka m kpaa nganga na m bụ onye Naịjịrịa. Ewepu akukọ ya, agwa nọ n’emereme dọrọ mmasị.	positive
Ọ bụrụ na ị na-achọ egwu agụrụ na ihe edere maka ihe nkiri a… Egwu dị na ngwụcha ya. Na n’azu o nweghị okwu ọbụla ha kwuru karịa uri na-akpotụ. Ana m anwaa ike ịchọta aha ya. . . . . Ọzọkwa, ọ bụ ọmalịcha ihe nkiri na-akpụ akpụ. Emereme dị na ya dịkwa kpoo. Mmetụtaobi dị na ya nwechara isi. Ma mkparitaụaka okwu ndị ahọpụtara, mmemme, kemistri dịcha ka ihe na-eme eme. Enwekwara ọtụtụ oge ha gbachiri nkiti ana ekwughi okwu na ya. O nwereike ị hụ ụdị ihe nkiri a n’anya mọọbụ ịghara ịhụ ya n’anya.	positive
nke a bụ ihe nkiri sci fi m kacha hụ n’anya si Naịjịrịa. Ahụrụ m ihe nkiri a n’anya, ọ danyere n’ụdị m hụrụ n’anya nke a nyere m afọ ojuju. Ana m atụ anya ka Naịjịrịa wepụtakwuo ụdị a... Aro m na-atunyere ndị Naịjịrịa bụ ha kwado ihe nkiri a. Nke a ga-agba ha ume imepụtakwu ọzọ ka mma maka anyị.	positive
Ihe nkiri Kemi Adetiba bụ ‘King of Boys’ enweghi atụ. Malite na nhọrọ agwa na akụkọ ya mara ezigbo mma. Ụtọ ya, ntọ ọchị ya akataghị ihe pụrụ iso emereme nke ọbụla enweghi ihe a ga-eji tụnyere ya.	positive
 Ozuzuoke.... Mmadụ biko nyere m aka ịchọpụta ebe ihe nkiri a si ri mperi n’ihi na elerego m ya ugboro anọ ọdịghị ntụpọ m hụrụ n’ime ya. Ihe ọbụla gbasara ya zuru nnọọ oke. Ihe nkiri a bụ kpoo 	positive
Ihe nkiri a bụ akụkọ mere eme. Ọ maka na-aga aga	positive
Ihe nkiri si Naịjịrịa dị mma nkiri…. Nke a bụ ihe nkiri si Naịjịrịa dị mma nkiri nke egwu niile agụrụ na ya dị mma. Mana ahụghị n’anya etu o si bụrụ naanị agba nke mbụ ya dị na Neflix. O were m iwe. Enweghikwa agba nke abụọ ya m hụrụ.	positive
Ọ bụrụ na ihe nkiri a bụ nri, aga m asị na ọ dị mma oriri. Akụkọ ihe nkiri a, etu esi kọọ ya pụrụ iche, nakwa nka ya. Obinkonelu ya dị ukwuu, mmetụtaobi ya enweghi atụ. Citation bụ ihe nkiri kwesịrị nkiri. Gaa hụ ya na NETFLIX.	positive
Ihe nkiri dị mma….Ọ bụ ihe nkiri dị egwu. Akukọ dị mfe maka umunwoke abụọ (anyị amaghị aha ha). Emechaa ha ezute onwe ha mgbe ha tokoro okorobia ofuma... Jisienu ike! Ọ bụrụ iche n’ihe niile m hụgoro.	positive
Ahụrụ m ya n’anya… akụkọ mara mma....ahụrụ ndị Naịjịrịa n’anya. Akụkọ dị mma. Jisie ike	positive
Ọmalịcha, ọmalịcha, ihe mwute kwesịrịnụ.	positive
My Village bụ ihe nkiri emepụtara nke ọma, mmepụta ya pụrụ iche m hụrụ n’anya karịachaa bụ ebe mmiri na-ezo. Ndị nọ na teknuzu ya mere nke ọma	positive
Keakụkọ, na-atọ ụtọ, na-akuzi ihe ma dị mma	positive
Nke a bụ ihe nkiri si Naịjịrịa m kacha hụ n’anya. Ihe nkiri mbụ mara mma	positive
Ọ tọrọ m ụtọ etu ụmụnne nwaanyị abụọ a si nwee ihe jikọrọ ha nke ọma mana ihe kewara ha bụ ịhụnanya na etu ha si legara ọchịchị anya. Ndị agwa nọ na ya rụrụ ọrụ ha nke ọma.	positive
Ihe nkiri na-akuzi ihe eji nka mee... Ọ bụ ihe nkiri amara mee na ntuziaka site n’ikuzi ihe na kwa ịdọrọ mmasị nwere mmetụta ime ahụ. Ọ na-egosipụta agbụrụ na omenala otu na Ingland, nke a siri ike ikweta. I makwu na ọ bụ akụkọ mere eme mekwuru ka o si ike nkweta. O nwere ike ọ bụrụ na ha tinyere obere arọmarọ na ya mana nke a meghi ka ọ ghara ịbụ akukọ mere eme…..Enwere ọtụtụ ebe na ya bụ ihe nkiri m jụrụ gịnị mere? Gịnị ga-eme ị ga-eji mee ya! Mbaa!..... Ọ bụghị maka ndị ume na-ekorapụ. O ji uche mmadụ egwu egwu, ihe nkiri ga-eme gị ka ị jụọ ọtụtụ ajụjụ...ọ dị ụtọ na-akpalị mmụọ. Ọrụ nka. Otu n'ime ndị kacha elu m hụgoro. Ọ kwesịrị ka elele ya.	positive
Ọ bụ ihe nkiri dị mma maka ịhụnanya, okwukwe, ezinaụlọ na ọnwụwa dị n’ụwa… ọtọ tụrụ ụtọ, mana ọ dị m mma. Ahụrụ m Mawuli Gavor n’anya. Aga m ele ihe nkiri a ọzọ maka ya.	positive
Akụkọ mara mma maka ndị Benin… Ihe nkiri a na-akuzi ihe na-adọrọ mmasị ilere. Ọ kana atu m anya na emepụtara ihe nkiri a na 2014. Emereme ya na ntuziaka ya amaka...Daalụ ndị niile mepụtara ihe nkiri a.	positive
Echiche dị ukwuu….Akụkọ nka na ndị na-eme ihe nkiri nwere nka. Ihe ncheta dị na ya dị ọtụtụ mana o ka dọrọ mmasị na ngosipụta ya	positive
ọ maka… Ọ dị ezigbo mma, ihe nkiri a dị mma, tọọ ụtọ ma nyekwa afọ ojuju site na mbido. O nweghi ntụpọ ọbụla, mmalite dịka ihe e ji ụzọ aghụghọ mee, mana ọ bụ otu o si eme nke ya. Ihe nkiri a dị mfe bịa nwee ezigbo nghọta bụrụkwa eji amatụ. ọ dabara adaba	positive
Asị mụ kwube, ụgbụa, KOB bụ ihe nkiri nke mbụ na Nollywood. Akụkọ ya pụrụ iche ma kwuru chim. O kpughere ihe na-eme na ndọrọndọrọ ọchịchị n’ezie.	positive
Ihe nkiri a dị nnọọ ezigbo mma. O kwesiri ka onye ọbụla kiri ya.	positive
Ahụrụ m ihe nkiri a n’anya. O ga-amasị m ilere ya ọtụtụ afọ na-abịa na mkparịtaụka ọ na-ebuta. Emereme ya dị nọọ ka ekerechi na-enweghi imebiga oke ma dịka ihe mere eme. Na nchikota, ihe nkiri a na-adọ mmasị mee m ekuli ekuli.	positive
Ahụrụ m ihe nkiri a n’anya	positive
ỌMALỊCHA IHE NKIRI NA URU OLE NA OLE	positive
Ọmalịcha akụkọ na-egosipụta omenala Naijiria. Akụkọ ya pụrụ nọọ ezigbo iche na-enweghi ike ịma ihe ga-eme, ọ dịghị ka ọtụtụ ihe nkiri Naijiria. Ịghaghị ikiri ya	positive
Aghaghị ikiri ya, akụkọ tọrọ ezigbo ụtọ nakwa ngosi mara mma, ezigbo mmekọrịta dị n’etiti omee ndị Hollywood na Nollywood. Ọ tọrọ m ezigbo ụtọ.	positive
POV ọhụrụ. Ọ bụghị ụdị sịnịma/ihe nkiri nke anyị mabu maka ndị ọcha, kama mmeputa ya arụtụghị sọọsọ mmebe akuko, kama o rụtụkwara njirimara dị icheiche na omenala mpaghara ebe o mere.	positive
“Citation” kachasị mma n’oge ọ gbadoro ukwu n’ụzọ na-edochaghi anya nke dakwasiri isiagwa ya mgbe ọ na-eme mkpesa, na amabeghị ma usoro ehibere o ga-adabara ya ruo n’isi njedebe, emereme na-amapụ obi.	positive
N’ihe nkiri nke dịka a ga-asị na nkebi nkiri ya kwesiri ịdị nkenke, anyị na-ahụta mmekọrịta na-etoruo ezinaụlọ, gafee/karịa afọ iri abụọ na Naijiria.	positive
N’ikpeazụ, nke a dabara adaba….Ndụba siri ike sitere n’ụlọọrụ Ayo Makun nke e webatara ezigbo ihe ochi na ihunanya. O kwesiri ka Naijiria niile kirie ya.	positive
Ihe nkiri Naịjịrịa kachasị m kirigoro.. Ihe nkiri a amaka! Ekereeuche dị ịtụnanya nke enweghi ike ịmata ihe ga-eme n’izizi. Mmasị m bụ etu akụkọ ya si buru ihe na-eme ugbua ma metuta ihe a na-ahụ na Naijiria oge ugbua. Emereme ya dị nọọ egwu. Sola Sobowale bụ nọọ odogwu.	positive
Ọrụ nke a bụ oka ibe: ọ dị ọhụrụ, na-ebiju isi ma juputa n’ebere.	positive
Ezigbo nhazi.. Ọ tụrụ mu nọọ n’anya etu e si hazie ya. Ọ na-eto akpịrị ma na-atọ ụtọ.	positive
Ahuru m ihe nkiri a n’anya…. Ihe nkiri a dị ezigbo mma nakwa ọ dị m na ọ ga na-aga n’ihu na biko kedu oge a ga-ewepụta agba nke atọ na nke anọ.	positive
Nke a bụ ihe na-eme onye bụ nwa nke mbụ dị efulefu n’ezinaụlọ ndị ọgaranya n’Afrịka. Ihe nkiri a gosiri nsogbu ịbụ nwaanyị n’ebe nwoke na-achị na-akpakwa ike n’agbata Afrịka.	positive
Akụkọ dị ebube.…Ihe nkiri a nwere ọtụtụ ihe mmụta. Zainab Balogun gosipụtara agwa e nyere ya nke ọma. Ọ bụrụ na Ị gahiere ụzọ, ihe nkirị a bụ naanị ihe ga-enyere gị-aka imezighari ụzọ gị ka ọ gbaso ụzọ Chukwu.	positive
Ihe nkiri ji nwayọ akpalị mmụọ...	positive
N’ezie, ụda ya dị nọọ mma, akụkụ igwefoto na usoro mmepụta ya pụrụ iche ma dị ezigbo uto. E mepụtara ihe nkiri ebe a luru ọgọ nke ọma.	positive
O teela aka m lere ụdị ihe nkiri kachasị ya mma na Naịjịrịa. Ihe nkiri dị ịtụnanya nke nwetachara omenala Naịjịrịa ma ulooro na-ahu maka imeputa ihe nkiri.	positive
Akụkọ na-ebute akpata oyi ma na-adọ mmasị… Akụkọ a nyere ezigbo mmekpaahụ. Ebere m mere Enitan, apụghị m iche ihe ọ gabigara n’oge ọ dị na nwata. Mgbanwe ya dị ịrịba ama/tụrụ n’anya. N’ikpeazụ o kughere onye Enitan bụ, kama o wuru m akpata oyi site na mkpughe a. O weteere ihe nkiri a n’ọnọdụ mmetuta obi kachasi elu.	positive
Ihe nkiri na-enweghi atụ, ngosi dị egwu na usoro akụkọ dị mma.	positive
Romper Stomper nwere nhịkọsị ọnọdụ ma bụrụkwa ihe emereme e ji nka mepụta. Ihe nkiri gbasara ịkpaoke agbụrụ nke ndị ntorobịa kacha mma emepụtara n’afọ. Ọ bụrụ na ị hụrụ ihe nkiri dịka Romper Stomper, This is England, A Clockwork Orange… ọ bụrụ na ịhụrụ ihe nkiri amara mee ị pụrụ ị hụ nke a n’anya. … Ihe nkiri a kọrọ maka onwe mabụrụkwa ihe mmepụta izizi ndị agwa nọ na ya. Ahụrụ m ya n’anya. Ọ bụ ihe nwute na ndị mmadụ na-akọtọ ihe nkiri a eji nka mee n’ihi ihe ha chere n’obi ha sitere n’aka ndị amaghị emepụta ihe nkiri. Ya tọọ unu ụtọ	positive
Nke a dị ezigbo mma maka ụmụnwaanyị (nakwa ụmụnwoke).. N’ụwa, a na-akwanye ụmụnwaanyiị ka ha maa mma karia etu ha dị, ka ha konye aka ha ebe o rughi, ihe ngosi a rụrụ ọrụ mabụrụkwa nnukwu ngwaọrụ iji kuzi maka agụmakwụkwọ banyere ego ka ha mata etu ha ga-esi jiri ọgụgụisi ha hazie ego ha nakwa uru ọbara ijide akpịrị ha aka na ngongo. Oo, ọ tọkwara ụtọ! Emereme nke dị egwu... Amaghị m ihe mere mmepụta egwu ya, ọ dịka ka ọ bụ naanị otu egwu ka etiri n’emume/agba nke ọbụla.	positive
Iji ilu ruo, imu onu, na iji okwu gwurie egwu, o nyere ọtụtụ ihe agaghi echefu echefu nke a ga-akpu n’onu ogologo oge. Anyi ga-ekwughari ogbara di n’ime ya ma cheta obi ụtọ anyi nwetara ilere ihe nkiri a gasi.	positive
Ọ dị mma n'agbanyeghi na bụ nke mbụ… Nhazi/usoro akụkọ gara were were na-egosighi ihe ọhụrụ ọbụla, karia ịbụ ihe nkiri mbụ Naijiria mere maka Ekeresimesi. Ndị omee nkiri họrọ amaka.	positive
Ihe nkiri mara mma nke nwere ezigbo ihe mmụta!...Ihe nkiri a bụ maka ejije ntọọchi kentozu/ejije banyere nwatakiri nwoke chọrọ iji aka ya dozigasị ihe karịa ịnọ n’ochichi. Ile ya anya n’ụdị sara mbara, aga m asị na nke a bụ iji gosi etu e si eme ihe na mba Afrika, na etu ụmụazi si amụta etu esi e nwee obi umeala.	positive
Citation na-enye anyị nnọchite anya ezi uche banyere ihe ndị na-emekari n’ụwa na ndụ ndị ntorobịa, ọkachasị ụmụakwụkwọ, karichaa n’ebe ụmụnwaanyị nọ.	positive
Ọ na-agbaka isi, maa mma, dị jụụ…omee nkiri nwaanyị nke kachasị amasị m na Naijiria Adesua Etomi-Wellington butere m n’usoro nke onyonyoo ma nyee m nnọọ ihe m chọrọ, ọ bụ ezigbo ihe itunanya ihu emereme dị mma, ọ bụ edemede dị nọọ mma tinyere ọhụhụ a huru ya, isiagwa niile nwere umi ha nke na-egbochighi omee ihe nkiri nkiti ndị ọzọ , agba nke ọbụla nwere ike ikwuru onwe ya tinyere nhịkọsị n’usoro akụkọ na , e nwee onye ọbụla na-achọ ihe nkiri onyoonyoo nwere ọtụtụ agba ọ ga-elere, ọpụrụiche Naịjịrịa a ga-amasịrịrị gị.	positive
Ọ bụ ihe mwute, n’ihi na nke a gaara ịtọ ezigbo ụtọ. Mana ka o sinadị, ndị meputatara ya abụghị ndị ọkachamara.	positive
Arapadoro m!!!....Ọ tọrọ m ụtọ. Ọ dị ezigbo mma na o si n’ụlọọrụ ihe nkiri Hollywood. O fughi m oge.	positive
Ọpụrụiche!! E kpupuru m mmepụta Nollywood nke a okpu!!	positive
Ihe nkiri a tụrụ n’anya… Ọmalicha akụkọ, a kọrọ nke ọma ma gosipụta. Ihe niile site n’ebe a nọ mee ya ruo etemeete, agwa, ekike, ma asụsụ na ngosi omenala dị nnọọ ezigbo mma. Kunle Afolayan daalụ.	positive
Akwadosiri ya ike! ‘Gold Statue’ magburu onwe ya n’ezigbo mma. Na-ekwe nkwa nnukwu ihe ọchị/ugwu ihe ọchị. Tinyere ugwu ahụ, mma ihe ngosi a bụ osimiri na oke emereme na-enweghi ntupọ. O nweghi ego ọbụla ị ga-etinye na ya furu ọhịa.	positive
N’ezie nke a bụ ihe nkiri Naijiria kachasị mma m hụtụrụla.	positive
Ọ dị mma mana ọ fọsiri… Akụkọ gbasara igbu ọchụ nke si Naijiria masịrị m. Nhazi akụkọ ya juru eju ma nwekwa usoro ọgụgụ n’ime ya mana ọ dọchaghị mmasị m ruo n'isi.	positive
Ọ dọrọ mmasị… Ihe nkiri a dọrọ mmasị m site na mbido ruo na njedebe ya. Emereme ya so na nke kacha mma na mba uwa.	positive
Ihe ọ pụtara ị bụ onye Naịjịrịa.... Genevieve Nnaji ndeewo. Nke a bụ ihe nkiri nke onye ọbụla kwesịrị ịhụ. Naịja were aka, jisienu ike ịdịwanye mma.	positive
Naanị otu nsogbu.	positive
LionHeart bụ ihe nkiri kara aka nke a gbaliri nke ọma izipụta agha a na-ebuso ụmụnwaanyi n’ebe ha na-arụ ọrụ na Naịjịrịa. Enweghi ewetaeti na ya, akụkọ ya gara etu o kwesịrị. Ọ dị ezigbo mfe ikwu ihe ga-eme na ya, ntuziaka Genevive Nnaji nyere ya esighị ike. Mana n’aka nke ọzọ, emereme ya dị egwu o gbaliri nke ọma kwalite agwa na ngwa ọrụ. Ihe nkiri a adabachaghị mana ọ mara mma. Ọ kaara ịnata akaraugo na Academy ma ọ bụrụ na ha e jighi nzuzu kwachapu ya n’ihi na emere ya n’asụsụ Bekee.	positive
Ọ dị egwu!!!...Nke a so na ihe nkiri kachasị mma nke m kiriri! AHỤRỤ M YA N’ANYA!!!	positive
Nke a bụ ihe nkiri magburu onwe ya! Ezigbo akụkọ… Obinkonelu ya ga-eme ka I na-ekiri ya na-aga, enyemaka nto ochi ya ga-egbu gị n’ọchị. Ọ bakwara uru.	positive
Nsonaazu ya dị mma mana mmeputa ọzọ karị ka mma maka ezigbo akọmakọ. .. Aga m etoriri onye nduzi ya nakwa emereeme ya (Ramsey Nouah).	positive
O zuru ezu ka a chọrọ. O ziri ezi, e mere ejije ya nke ọma. Onye ọbụla mere nke ọma. O mere mmadụ inwe mpako ibụ onye Naijiria. 👏👍😘	positive
Ọ mara mma ịhụ Sam Dede n’igwe onyoonyoo anyị ọzọ, na ịhụ na ọ ka bụ odogwu n’imepụta ihe nkiri. Ebe ọbụla Stella Damacus nọ ya, o doro gi anya na ị ga-agba ezigbo anya mmiri na emetutaobi, o dịka o naghị aka nka.	positive
Ihe e mere nke ọma…Ihe nkiri a ga ekiri riri! Ikwu ọtụtụ okwu adịghị ya. E nweghi ihe ọzọ m ga-ekwu gbasara ya. Okwu kọro m n’ọnụ.	positive
Ọ na-akpalị mmụọ ka agwa dị icheiche si nwee ohere na-ekwu maka ndị ha hụrụ n’anya, bịa jide onwe ha aka ka iwe hapụ iwe ha n’ọnọdụ mmetụtaobi ahụgasị.	positive
Ọ bụ ihe dị mma ịchọpụta ka esi dee abụ a bụ Amazing Grace	positive
Ihe nkiri a meturu m n’obi gbasara AMARA CHINEKE DỊ EGWU! ỊGHAGHỊ IKIRI YA!!!	positive
Ọbụghị naanị na akụkọ ya adọghị mmasị ndị nkiri, ndị mere ya bụ ihe nkiri emetaghị ya,onweghi ihe nkweta na ya.	negative
Ihe nkiri a tere aka, na-atụ ụra. Egwu na-ada n’azụ ihe emereme a enweghi isi. Enweghi ihe apụrụ ime ịzọpụta ihe nkiri a.	negative
Ọmalịcha ụzọ ị ga-esi mebi ụbọchị gị	negative
O mighi emi	negative
