pcm_review	sentiment
Steamy soap opera wey unfold against di backdrop of caution histori lesson wey remind us say for Naija, di more wey tins dey change, di more dem dey craze.	positive
Plenti work wit scrutini enta to make dis. Dis kain plenti tins, im quality stand out easy and brazen. Di sheer amount of as e dey authentic dey breathtaking.	positive
My Village People na film wey go make you loose your home train wen you dey watch am. But na pathfinder for sort. Nollywood general neva do beta job for makin di supernatural dey sexy and to dey appeal. My Village People achieve am wit no wahala, and e deserve big amount of hailing	positive
Di tori no be something wey we neva see before but dem tell am from Naija perspective, e dey funny, quirk and di dialogue dey great wen we compare am wit other dem wey dey available for Naija market.. . . . . I enjoy di film finish, i go surely recommend am (give my Naija folk dem!).	positive
1980's drug mules, beautiful black women ... I dey heaven	positive
E dey realise but slow pace wit very melodrama.... Beta actin,  base on true mata wit decent tori. Di pace dey wan kain slow for my own wit some scene be like made-for-tv film (di cheese music and di over dramatize).. . . . E dey watchable if you sabi wetin you wan enta before time.	positive
Correct.. . . . . Tanks for dis. I dey impress wit am. But me Nelson Orah play di character of Ahmed, no be Umar. I go appreciate am if Dem correct am.	positive
She dey' Supa Fantastic! You wan  see dis film. Dis film dey extraordinary enjoy. Pure Nollywood sweet.	positive
I dey thrill after I watch di film, everitin dey on point. I dey particular impress wit di quality of di cast wit crew. Di director, Kemi Adetiba do beta job and I dey proud of am. I don recommend am give many am give many pipo I dey look forward to watch more of im work.	positive
Genevieve Nnaji stamp im foot concrete for di pantheon of genius director. She no dey disappoint for her debut,  Lion Heart. Na must watch, as im announce di birth of international Nollywood.	positive
Nollywood for im peak!!!!. . . . Dis film tell tori about culture, unity wit family. So so theme wey I no fit finish mention.	positive
Beta wit wise film. Na  beta film, wey show di danger wey dey Naija tribalism wit how im fit affect young love.	positive
Dis film na beta offer for di genre.	positive
I like dis film. . . . I dey really surprise to read negative review for dis film. Shey we sabi wetin beta film be like trutru? Dis film beta, e dey very enjoy. Di character dem dey well develop, di toriline dey believe and relate. And di quality, fantastic. Well done guys I like am pass Wedding party 1 and 2. I no dey disappoint at all.	positive
I see di premierè for Houston Texas. . . . Dis film suppose win Oscar Award. Di toriline sef dey very gud. Di Actor dem dey incredible.	positive
Anyone wey love art, wey don see part one, go know di plot wit toriline don dey build there and dis na follow up.	positive
Beta outcome.	positive
Expository film. . . . Dis na very gud and distinct film. Some pipo fit no like am because di love or di thriller tori film don masta dem or because dem no dey use to life wit motor. Di film really show how tins be for di life of  mechanic dem, apprentice and customer dem. E also teach parent and pikin dem beta lesson. Na seemingly perfect expository film.	positive
Understated, powerful crime drama wit histori flavour. Dis na very character rich film. No single scene dey waste.	positive
Great continuity dey throughout di film... Di writer wit di director dey high intelligent and creative. Tank you so much for dis amaze film	positive
I enjoy to dey see di part of Lagos wey gud, both on di mainland and di island, use, no dey like di other films wey go stay for one location. Lagos na beautiful place to shoot film, especial if dem put to use di diversity of di state, as we see am here. Accident scene dey always dey tricky give Nollywood to portray,  but na pleasant surprise to see one wey dey believe here.	positive
Citation di film. . Perfect film. I like every second of di film. I wish say make e no end.	positive
Akinnuoye-Agbaje director debut na trouble come- of- age tori base upon di director own experience as 'Farm out' Naija pikin for UK during period of surge xenophobia for di wake of di Windrush generation dem arrival. Di look and feel of di film early moment present settling wit character dem so raw and realistic dat wey pesin fit only capture if dem experience dem. Di pace of di film for many way reflect dis. At time seem to take on almost frantic pace wey dey meaningful for way wey capture di effect of somebody wey dey recall dem life story- make up of di important detail wit traumatic moment- through occasional make am difficult to capture and appreciate di passage of di time border on surreal. Di supporting character dem similar dey raw and dem be identify foil, though lack in depth require to be whole character pass dia interact wit di film lead.  Furthermore, di film just do small to address or context im setting, delibrate choose to focus on di internal struggle of im central character. Despite say di film center character dey compel enough to keep viewer dem engage solely for im development throughout di film. Overall farming na impress director debut wey tackle issue of dual identity wit self hatred for manner wey leave plenty without say but im provide  bitter wit frequent heartbreak account of one individual struggle for meaning wit identity. So much dey to admire for dis film wey present often overlook period for British history,  di important of dat Kain personal topic wey deserve more runtime pass mere 107 minute.	positive
Amazing film na must see.	positive
Beta series. . . I really like dis show. All di character dem dey great I enjoy di watch. I hope say im go stay around for more season. I dey look forward to di next season!!!	positive
Work from a script by playwright Darci Picoult, Dosunmu fashon, take wey dey realistic, e dey  melodramatic and e dey  culture specific ( we spend many time ogling colourful pattern dress Dem as we dey admire Gurira endless expressive face), yet no mistake archetypal.	positive
Beta film!	positive
No word fit describe di power of dis film and im remind how fortunate im be to neva dey for di type of civil war. Extraordinary toritellin of tragic, Naija history wey happen recent wit di humanity within am all.	positive
Beautiful	positive
Rational represent of di Igbo. . . . Lion heart represent wetin im really mean to be igbo- hard - work wit comunal system of live.	positive
Many mediocre actin dey here and there and something make little to no sense for me but overall I enjoy am for wetin im be. I no go watch am again but as I see am once dey nice.	positive
While di theme here dey nice, redolent of neorealism, di filmmaker no make ostentatious nod give cinema past. Dem voice na their own; di camera dey mobile when im need to be, but e stand still much of di time, letting di excellent cast build their character dem as di event of di film test how Dem fit endure.	positive
Funny Funny Funny. . . . Oh mehn, dis film dey super funny. If you dey find film wey lift your mood up then dis na di right film for you.	positive
Superb film!!!. . Dis wan go be di best film wey don come out of Naija, make we no mention as im dey very funny!	positive
 BEAUTIFUL AFRICAN WOMEN	positive
I no no di kain basis wey people use give dis film dis kain low rate but believe me after long time I don watch dis kain beta, fine, clean wey beta pass Bollywood film.	positive
Di picture quality of dis film dey great, and di director do beta job.	positive
Performance wey dey outstanding. . . . Temi Otedola performance dey stunnin. I enjoy di later wey di tori get enta bodi wit di way wey dem reveal each key piece of information.	positive
Na major step to take back our narrative. . .  . Dis film, don really show deep side of di struggle of di people wey we dey ignore. E dey easy to see pesin to judge, but wen Dem talk tori like dis, you go start to dey look everybody wit diffrend lens. Di end, though e dey abrupt, keep you for limbo and e go hold you for pawafu suspense ponder on wetin you just witness.	positive
Spot on!!!🔥🔥🔥. . Definite Afrika film of di year, I enjoy every minute of di 2hour 30minute 😀👏👏👏🔥🔥🔥🔥🔥🔥✔️✌️	positive
Na rare tori about di value of family from very distinct perspective. Na eloquent interpret wit perfect castin.	positive
Final great Naija film. For year, I don dey hope say Naija go produce one film wey dey great, and dat na where Esiri brother enta.	positive
Make I no lie dis film na real beta production wise and di sequel. Chills from top notch actin.	positive
E hard to see period of 5 minute for dis film wit nothing to laff, chuck or laff for. I no think say Naija film wey beat dis film for im genre ( fiction comedy). Dis effect of dis film sef dey commend.	positive
Beta Nollywood romance comedy. . Dis film dey exact cheesy reach to make you laff after bad day.	positive
Na nice cross- country film. . . . Di only tin wey I no like about dis film na say  interact no dey wit di Naija or India environment.. . . . Beauty romance film.	positive
Di tori start slow but e stick with am. Very gud tori.	positive
King of Boys . . . . Dis series dey absolute fantastic, from di toriline enta di cast, costume wit di emotion portray by di protagonist. I dey proud to be Naija for dis time. Well done Kemi Adetiba, well done Sola Sobowale!	positive
Na must see for everbodi. . . . Namaste wahala na masterpiece and na official cross between culture. Dis Nollywood Bollywood collabo get everything wey gud romance film suppose get, di Indian actor dey all great and Dem play their role perfect.	positive
E dey realize, e dey entertain and all round beta vibe. I fit watch am all day. I wish say dem go air for more than one week sha, dat one for one side, e just gud. Most reality show come off as script but no be dis one.	positive
For Nollywood scale I go give dis film 9 because of im unique toriline wit excellent production wey set am aside from oda Naija film dem.	positive
Beta toriline . . . . Na beta film and toriline. I like am.	positive
Speechless;. . . . Dis film give me goose bump I connect for way wey litrary tear my soul.  Indeed depict God di way wit di manner wey im suppose be. God go bless di writer, producer dem wit all involve. Di actor dem sef dey top top everybodi do fantastic job.	positive
I enjoy di kain relationship craft between Mr. Tayo (Bimbo Manuel) and Ejiro ( RMD),	positive
One tin I like about di film na di way di actor dem interpret am. Di writer, director wit di cinematographer dem deserve praise for dis effort.	positive
Na best Christian film!!!. . . . . I like dis film! Im dey so well done - Di actin dey awesome and di toriline dey refresh. Gbosa give di entire cast wit crew! Definite must watch!. . . . P.S. You go need tissue.	positive
I like am!. . I like di film, di actor, di director etc. Everybody absolute make am beta wit dia actin skill. . . . Anyone wey find am bad no sabi beta film, and im no fit relate wit our culture.	positive
E dey Awesome. . . . Di film dey awesome wit beautiful character dem. I like to dey see Bisola for film, she gud.	positive
Beautiful actin, di directing dey beautiful, di tori no too great. . I go open account so I go fit review am. Dis na beautiful work of art.. .	positive
E dey sweet . . . I really enjoy dis film. Di actin wit di toriline dey real gud. I find am to dey very interest to wonder about Ishi life- dis wan for sure dey open eye give many who dem force enter marriage.	positive
Gabriel Afolayan dey class of im own as actor,  I'm dey always understand di task.	positive
E no bad reach di review.	positive
Na beta film wit great action. . . . . Beta tori original beta action wit beta comedi wey dey inside just one. Di film thrill wit beta cast.	positive
Na well act film, fine wrought epic wey nevertheless struggle to balance di require of melodrama wit im drive to capture history moment.	positive
E dey awesome. . . . Di first time wey I look dis film, I blow comot. I no want make e sound craze but I try study tins for dis world. I dey hope to see di second install wit di same character dem wit plot wey dey very dark.	positive
Surprising . Normal, I go flick pass dis, but make I no lie na tori wey dey amaze. You fit tok say na low budget, but di direction wit di screenplay dey fantastic!! Di choreography of di fight scene lack small.but e definate worth watch.	positive
Na engross tale of family and war. . . . I recommend dis film without reserve.	positive
Wow. . . . Dis film make me change my relationship for best. Beta film. Di film start slow but e definate keep me interest. Di flashback make di end more intense because everything come togeda.	positive
Pipo no go learn if Dem no even try .. . . . Dis film tackle many issue include di big one. To know wahala for Black men.	positive
"Through economy wey get exposition, Eyimofe, ( wey Dem translate to  ""Dis na my desire"") deliver timeless, universe portrait of di resilient wey human get as e establish Arie wit Chuko as welcome new addition to take join filmmaking."	positive
Nah great movie from person wey we know say im be great tori teller. Gold Statue fit no be one of Tade Ogidan best works dem, but dey rank am high up dia.	positive
Na nice film.... Di story line dey good. E worth to be dey watch. I go recommed make person watch am sef.	positive
E dey fun to watch.... Di Delivery boy dey very refreshing, beautiful tori, dey tell am well. You suppose see am.	positive
Dis show suppose get 5 seasons dem !!!! .... Dis show dey very interesting and entertaining. If di real Caliphate get problem with am. Change of make you abrivate di name, abeg. Better cast!!! Better writing!!! Better visuals.	positive
Great movie .... I no fit understand for di life of me di kin low review of dat kin remarkable film. Dis series good so tey dat I binged di entire series as Medical student wey I be. Great work and thumbs up to di producer and casts dem. 	positive
Di production dey great nah delight years ahead most of di sub-par movies for African cinema. Dis movie nah great step wey dey di right direction for African cinema.	positive
Entertaining live concert wey dey feature lively arrangement of jazz and pop standards dem togeda with excellent orchestra. 	positive
Di  return og di king dey glorious.	positive
Better job!!	positive
Dem craft am well, highly personal tori wey dem tell well togeda with superb acting.	positive
E still be one of di best Nigerian films of 2017... Isoken nah great film wey showcase di culture of di area of di country. Di layout, filming, colours dem and dressing talk plenty about di tradition quite well. Di film get quite a good inject of laughter and great acting. 	positive
Great watch..... Great movie! I enjoy di fact say dem promote di Igbo language!	positive
"Camera chases dem wey dem dey carry for hand, emotionally fraught close-up, composition wey dey arresting and script wey give tori wey dey familiar a distinct African flavour  make ""Òlòturé"" A thrillier wey you no fit only endure but you go mavel over am and embrace am. "	positive
You need to watch dis!!!........ Nah a must watch!!! I dey in love with di character,. Di plot nah everything.	positive
Movie wey dey burst brain	positive
I love you - I get pikin	positive
Great piece of work wey Kemi Adetiba do, Di tori dey well scripted, better cinematography, all di actors dem give a great performance. Dis nah world class movie .... Kudos to all di crews dem. 	positive
Film wey dey powerful of a totally forgotten episode for history; no be for di f aint of heart.	positive
Great film - e entertain and educate.	positive
Serious drama wey get subtle comedy, nah my type bi dat.	positive
Wow, dis nah true tori! Wow! Amazing ..... Wow! Dis tori! Di many many many tori of di Black experience throughout di African wey dey abroad, and throughout generations. I dey happy say our broda share im tori and e grt to writ, direct, star in. And Damson wow, e acting dey always dey amazing. 	positive
Impressive & e dey funny how dey show di two cultures dem. I dey entertain  all through! Confirm production.	positive
Excellent delivery ..... Di movie nah wonderful delievery of sextual assaults university female student by some of dem lecture im be. E pass di message a simple and manner wey dem no suspect. End wey no dey predictable but a few forgivable misses. 	positive
Amazing ..... Love how dem display di pure cultures even in side di music. E dey great to see people wey make me dey watch Nollywood again. Nah thrilling al round an e dey very funny....	positive
Confirm Series from Nigeria... I love dis series. Great scenery. Acting wey dey fantastic. Everybody dey give dia A game. Di joke dey Natural and very relatable. E dey educative as well.	positive
E hit di correct note .... Di language dey sweet, di cast stellar, cinematography and editing dey on point. E also get great plot. Di one wey best dem all be say e put Ajegunle on di map.	positive
New Pandemic wey fit happen again! .... Nah brilliant movie and e dey very realistic about wetin really happen. He better pass di movie Contangion for my book. E really hit close to home for me. Nah one of di first serious pandenmic for my life time. I for too like to purchase dis movie on DVD but I don dey look for am for di USA but I no see am. Person fit tell me how ? Thanks.	positive
How movie with dis kin subject matter wind up as e take slow and boring? Where di urgency dey? Where di suspense  and tension dey? Di editing and pacing dey drive person nut  and there be no way dis thing need reach almost two hour and half hours long. And dat nah shame bcos e highlights a big and important problem, I hope say e do am wothout make people wey come watch dey sleep. 	positive
Lionheart nah beautiful movie e be.... Dis movie nah best Nollywood movie I don see so far. Every scene dey precise, e dey beautiful with a touch of humor and a moral lesson. I like say dem represent Nigeria well. 	positive
Season 2.... I love season 1 and e hard me to wait for season 2. I like all di charaters dem. I hope say you go dey bring on di new Series.	positive
"Nah 2 hours movie wey I no suppose call entertainment but moment of empowerment. If to say I dey get doubt before, my conviction don get better .... I fit connect with di movie bcos, I don experience a touch of God before ..... I say ""yes"" to God call."	positive
E almost accurately potray di kin abuse wey female student dey face for Nigerian university dem and for west Africa at large.	positive
E dey colourful and e get detail but thrilling no be di word .... In general, Fifty dey starndard, beautiful and lively, e suppose dey thrilling at di end but di goose for my pimples no too show but I dey happy as I dey remember small line and scene for di end.   	positive
Dis nah Kunle Afo movie wey dey impactful so far..... Di movie address a topic wey dey important for Nigeria education system. Better tori line, interesting plot, fantastic acting. Di movie nah di best you ever watch on top topic wey dey borda people on to gender base violence for Africans higher institutions. Enjoy am and no dey bias with your reveiw! nah good one e be.	positive
Nah brilliant movie ..... I juet dey watch Lara and di beat for Netflix. Dis film dey wonderful. Beautiful cinematography, acting wey dey on point, great tori, nice music and wholesome entertainment wey di whole family fit enjoy.	positive
refreshing .... I love everything about am. Di culture, language and music dey beautiful.	positive
Di movie give us di feel of di eighties, even to how dem organize parties, di talk about bleaching, di clothes, and di wey dem use plenty damask and Adire.	positive
Dem pace di movie well, properly flash out character full am dey operate for a plot structure wey no dy fall apart. Dem bring di movie to life with ogbonge aesthematic and masterful cinematography. Di even though no dey phenomenal, dey good enough to keep stay for your sit while e dey impart a thing or two about di subject matter. 	positive
"Abeg season 2 !..... I don watch ""Fifty series"" and con jam Castle & Castel bcos say Tola facee dey familiar. I love dis series and i go love make  season 2 come out! I hate as e leave me hanging on di last episode, as if say season two do come. So abeg give us a season 2!!"	positive
Terrific film! .... Dis dey intense, drama wey dey heartbreaking with excellent script and stellar acting performances.	positive
Light and funny! .... Nah total comedy gold with great plot-line. Fron dem sisters to di villains, you must watch am! Make we no mention di unexpected fantasy elements and great speacial effects! Dem dey highly recommended. 	positive
Nah risk dem take but dem do di execution and di production to acting well. 	positive
Farming fit no be di best tori wey dem don do , but di king captivating performance wey Damson Idris give, nevertheless, nah still tori wey person fit dey talk.	positive
SUPERBLY REFERSHING !!! .... Everything about dis movie just dey on point! Di tori line, characters dem and directing...down to costume. I too enjoy am!! My popcorn no too last before e finish! Love love love! Abeg make unah make more movies!!! 	positive
Nice cross-country movie..... Di only thing wey I no like about di movie be di way interaction no dey or no too dey with di Nigerian or Indian enviroment .... Beautiful romantic movie.	positive
Amazing movie ...... I too love to dey watch dis movie with e excellent plot, screenplay directing and Dakore and di cast do very well for dia acting. Dem represent our culture and heritage well. Dem deserve Oscar if dem dey for indigenous category. Dem get 10/10 for me. 	positive
Nah fantastic movie!!! Wow wow wow. Nollywood don dey come up.	positive
Brilliant..... Good tori line wey require plenty attention. But overall, dem do di movie well.	positive
Great Movie wey Nollywood do...... Dem no just write Lionheart for writing sake. E potray plenty things wey dey go on for Nigeria dat nah only person wey dey reason well and get open mind fit see through di movie. 	positive
Dis nah di best production wey Nollywood don do! E look like African American film. Di acting dey top notch and to find out say dis nah di film wey di lead actress go do, thumbs up.	positive
Something wey be like Shakespearean comedy, e full dey really amusing, sharply drawn characters and dem ofer wicked insight into how identity fit shape by city living and immigrant culture clash.  	positive
Nigerians wey dey Brooklyn .... Dis nah amazing film, suspenseful, thoughtful and dey colourful.	positive
Temi Otedola do amazing job!	positive
Thank you for di perfect example of hoe HE dey work for our lives: Dis movie nah gut-wrencher, reminding us how e take work through imperfect, repentant people wey dem call nah to obey Him. He do di rest. He dey faithful to complete wetin he don start. nah movie wey dey honour GOD, e dey show Triune in goodness and glory and power. Thank you. 	positive
Tori line dey beautiful .... Di way dem take twist di plot nah everything. E get suspence, gripping and interesting. E touch a lot on di importance of communication for relationships. I go watch am over and over again.  	positive
I love dis film! I done watch am plenty times. I hope say dey don dey do another one. 	positive
Nah morden Nigerian classic.... Nollywood get political/religious/ tribal gem for here for dos wey wan broaden dem perception of di why of di major ills of di world & in dis case a small community for Nigeria dey pervasive today..... Soul dey come to dis physical reality for experiences & dis film deliver plenty of dem.  	positive
E dey fun to watch especially if you fit understand di Igbo language..... But in general e dey good and nah interesting movie e be.	positive
Dis movie dey feel like a mish mash of under-develop ideas with half hearted romance wey dem throw inside. E no sure if we want am to be comedy or satire.	positive
Genevieve Nnaji don prove again reason wey she still be di best Nollywood actress of all time with her directing debut. All we fit say nah more grease.	positive
 A film wey capture a nation hope for better cinema.... One only fit wish say other Nigerian filmmakers dem go build on dis same ground for bright Nigeria film future.	positive
Absolutely sensational ..... Dis make me feel proud to Nigerian. Tori libe for one side, di performance from each characters dem dey phenomenal and e really capture my attention.	positive
Searching for a soundtrack & review ...... Soundtrack dey at di end of di movie. On di background. E no get any word, nah more like melody e be. I dey try find e name..... Beside dat, great movie, di pace really slow. Di acting dey realistic. Absurb emotions or anything like dat no too dey. Di conversations, di choosen words, di evens, di chemistry. e look natural like say person dey watch real situation. silent moment plenty and stuf like dat. So you eitherlike dis kin movie or you no like am.	positive
My number one Nigeria sci fi best movie .... I love di movie, e fall into my di type wey like so much wich I dey satisfy off, i dey look forward for Nigeria to bring more to screen ..... And my advice for we Nigerian be say make support dis movie to encourage dem make dey fit produce plenty better movie of our choice to watch. 	positive
Kemi Adetiba king of boys dey different. From di way dem select dem cast to di wey dem do di tori line well, dis movie be nothing short of excellent. Di thrill, plot twist, humour, di way person no fit predict di movie dey unmatched. 	positive
Perfection...... Make person help find di mistake wey dey inside dis movie bcos I don watch am like four times and still no fit find one. Everything wey dey about dis movie dey perfect. Di movie nah original.	positive
Dis film nah true life tori and e brilliant and moving.	positive
Nah Refreshing Nigerian series e be..... Nah refreshing Nigerian serie wey person fit watch without awful music wey go dey all through di movie. But. I no like as Netflix just carry season 1, e vex me and season 2 no dey .	positive
If to say nah food I for say e dey mouth watering ...... Di film citation nah necessity, I no see where e no go dey relevant. Dem pick dia actors well and dem display professionalism, di location dey amazing me no know say such good university dem dey Senegal, di aet and craft of our African leaders wey carf out African identity ..... di message wey dis movie carry, how dem tell am dey so special, insightful and artistic. Di suspense nah for another level, kin mixture of feeling wey e create to us di viewwers nah something else .... Citation nah a must to watch, go watch am for NETFLIX. 	positive
Excellent film ... Dis nah great film. A tori line wey dey very simple and e provide glimpse into di past to two boys ( with many wey we no know) ... Den di twists and turns wey surround dia reunion as men wey don grow. Well done! E dey different from anything wey I don scene.	positive
Love am .... Beautiful movie .... I love my Nigerians. Di tori line beautiful too. Well done.	positive
Beautiful, beautiful, sad and necessary. 	positive
My village people delive fantastic special effect, and dem no dey over di top. One of di special effect wey I like most nah di rain. Di technical crew deserves special recognition for dia skill for dis movie. 	positive
Historic, thirlling, Educative and dey very great.	positive
Dis nah my favourite Nigerian film. E get captivating debut feature. 	positive
I deeply appriciate say i see movie wey show emotional bond between two sisters wey dey connected in so many ways, but disconnet by romance and political views. Di movie actors dey superb and dem cast each character well well for dia role. 	positive
E dey educational but visceral & harrowing Film Expertly Crafted ... Nah great movie wey dem act well and direct. Expertly Crafted even though e dey eductional to one level but nah fully immersive visceral experience.... Exploring Race, and Gabg Culture, for England e dey hard to believe some of these things even though we know say e dey base on true tori make am even tough pill to swallow. Maybe some of di scenes dey for theartical licence but still nah still from some where real e come .... Dia be so many point for di film where i bin wan ask why? why you go do dat! No be so! .... e no dey for di faint hearted and e kin of mess with your mind. Nah di kn movie wey go leave you with plenty questions.... e dey entertain but provokinh and interesting. A work of art one of di most original movie i don see for ages, a refreshing perspective. e worth make person watche am.   	positive
Nah  nice movie e be, wholesome movie wey dey about love, faith, family and temptation of di word... Di quality no too sharp but i enjoy am. I fall IN LOVE WITH Mawuli Gavor and I go watch am again so i fit see am.	positive
