pcm_review	sentiment
Beautiful movie wey show historic event for Benin Kingdom ..... Dis movie dey very educational interesting to watch. I still dey shock say nah 2014 dey do am. Di directing dey superb ... Kudos to di cast and crew.	positive
Great concept. . . . Di storyline dey creative with actors wey get talents. E dey too much with some of di flashback but e still dey very inetresting throughout.	positive
so cool....Dis wan bam . dis film sweet die from start. I no see any mistake, maybe di beginning wan dey one kain sha, but na taste. di movie no heavy but e make sense. I recommend am wit my full chest!	positive
KOB is Number 1 Nollywood movie to me right now. The story is way different and genuine. Unveils what goes on in politics for real.	positive
Dis wan ogbonge film, I go recommend am give anyone!	positive
I love dis film. I go gbadun to dey watch am for many years wey dey come and di talk wey di tin spark….Di actin dey natural melodrama no dey and perso fit believe am. Patapata, di film dey do me to watch and e carry me waka join. 	positive
I love dis Film 	positive
FILM WEY MAKE SENSE WIT SMALL PECK	positive
Tori wey fine wey show Naija culture. Di tori stand out gidigba and you no fit talk wetin wan apun next, no be like most of other Naija film. Na must watch o.	positive
Na must watch di tori sweet and dem act am wella, beta collabo with Hollywood wit  Nollywood actor dem. I gbadun am tru tru.	positive
POV wey Fresh..No be di kain of film house wey we sabi for western areas, but di production highlights no be only to develop tori, but di color dem wit culture of the side wey di tin apun.	positive
Citation work best wen e move wit some kain strong doubt wey dem use strong force push for di main actor as she dey run her matter, and e no to clear whether di system go favor am until di finishin, wey create fear.	positive
For film wey be like say e suppose be one Kain small series,we follow relationship, wey later enter family small small, for like 20 yrs for Naija.	positive
Lastlast, beta one, dis  wan na ogbonge entry from Ayo Makun, wey join correct comedi wit some kain love for heart. Na must watch for every Naija people.	positive
Dis best Naija film wey I don see. Dis film surprise person! E dey very creative and u no fit talk wetin wan sup next. I like how di line of di Tori dey town and e dey inline wit wetin dey sup for Naija as e dey so. Dem act am well -Sola Sobowale na legend!	positive
Na correct work: e create fear and e show love. 	positive
Confam series. I dey impress with the series no be small. E catch pesin    and e sweet.	positive
I like dis film...Dis film na very correct film, e be like say make e no finish again abeg na wen di season three and four go come out.	positive
Na di koko for if pesin na first born for Ajebo family for Afrika. Di film na di koko of di struggle of women for society wey be say na men deytop evriwhere dey control Africa environment.	positive
Correct tori…Di film get plenti moral lessons.  Confam role interpret from Zainab Balogun. lf you don miss road before dis film na wetin u need to find road to God .	positive
One film wey dey vex if e wan dey borin small…	positive
For di technical matter di sound dey very good, di way Dem run di camera and techniques no dey common and e sweet. Dem fight part dey smooth.	positive
Di best Naija film wey we don see for a while…Di surprisin wey show Naija culture wit im film company trutru.	positive
 Story wey dey disturb but wey be say e dey enter body. I pity Enitan, I just no fit talk wetin im eye see di time wey im dey small. As e take change. For the endin e show who Enitan be, watin e sho shock me. E com make the dey touch pesin    mind big. 	positive
Beta film,  preference way make sense and good story line.	positive
Romper Stomper wit some kain twist na Masterpiece drama.  . . Beta Skinhead Cultural film wey I don see in for many years.... If you like film like Romper Stomper, dis  is England, A clockwork Orange... You fit like dis and if you like film wey dem do well sef... di film wey actor dem first produce and from experience wey dey personal sef..... beta work join man…like am…e sad say people dey ridicule dis kain koret work for art form from view wey dey personal, from pesin wey dey new to film making... enjoy my pipo ....	positive
E dey good for women wella (men sef). . For world wey women been dey dey  force to look beta pass as dem be, and do pass dem sef, dis  show serve as beta tool for financial education, wey go guide dem enta beta tinkin organization of dem finances and di benefit of gratification.wey dem delay. Oh, and e dey entertain sef! Beta actin!. . . . I no sabi wetin do the music production sha, be like say dem bin dey repeat di same song for all di episode.	positive
Way to use proverb dem, innuendo, wit play on word, give many memorable one liner wit quote wey go dey our tongue for long time. We go quote di line and remember di kain joy wey we feel wen we dey watch dis series.	positive
Gud for first.. . one straight forward plot wey dey fair wey deliver notin wey new, safe as per say na im be di first Naija film wey dem base on Christmas. Di casting sef sweet. 	positive
A very gud film  wey get gud lesson!. . . . Dis film na coming of age comedy/drama about one young boy wey wan fix tins wit him hand instead of to sit for cubicle back. If we look am well, I think dis wan na just to celebrate how dem dey do tins for Africa, wit how small small pikin, dey learn how to dey humble. 	positive
Citation dey do well as e dey give us logical representation of wetin bin dey apun for real world to large percent of youth, especially student dem, wit di main di main dem for di female gender....	positive
Crazy, lovely, cool..... di Naija actress wey I like pass Adesua Etomi-Wellington carry me enta dis tv series and I no dey dissapoint, na beta surprise to see gud acting, tru tru  na beta writting untop say I see her, all the main character dem add substance and dem no dey over the top over hype character dem, na all the episode fit stand on their own wit plot twist and reveal, if anybodi dey find beta binge watch you no fit mistake wit dis Naija  gem.	positive
Na pity, bikos dis wan suppose sweet well well. But as e be, na just total amateur.	positive
Di tin too cap, nah beta from dem Hollywood film people. No be waste time. 	positive
I no believe am!! I dey proud of dis Nollywood Production!!	positive
Film wey make sense.....tori wey fine, dem tell am wella and dem show am wella. Everything make sense start from di location enta di makeup, di actor dem, di dressin, even  di language & di way dem take show di culture choke. Well done Kunle Afolayan. 	positive
Super Recommend! 'Gold Statue' na Maginificent Excellence. E promise one mountain of fun. And with that mountain, river of quality wit actin wey dey perfect com follow. Dis film worth any amount wey you go spend and more sef.	positive
Abeg forget, nah di best Naija film wey I don see be dat.	positive
He good but he dey one kind cheap. I like di way dem take dey kill secretly from Naija. Di plot too thick and dey readable but di tin still far to com get me make I like am. 	positive
Sweet.... di film sweet die from di beginning till di end. Dey way them take act am ehn dey world class. 	positive
Dat nah wetin it mean to be from Naija.... well done Genevieve Nnaji: di film wey be say everyone dey like look. Kudos Naija, make una dey improve.	positive
. Only one Walaha.	positive
Lionheart na strong film wey point sex matter for work for Naija. E too dey straightforward, we fit sabi Wetin go happen next sef, di film na weak directin from Genevieve Nnaji. But for di other side of matter, di way im dey take act choke, and im dey top for both character with everything. Di film nah dey clichéd, and charmin. E go be beta nominee wey dey perfect for di Academy as dem never carry mumu comot bikos of am.	positive
Mind blowin!!!!.... Dis na one of the best film wey I don look! I like am!!!!!	positive
One film experience wey dey wonderful! Tori line wey get leg.....Di suspense go make you shake and di comedy go make u laf. E worth am tru tru.	positive
Di sequel beta, but to remake for beta to take get beta tori... i must talk say I give am to di director and di way wey im act (Ramsey Nouah).	positive
100% on point. E dey accurate and well play. Everibodi dey fantastic. Make one pesin proud, you be Naija pikin 👏👍😘	positive
E dey fin to see Sam Dede for our screen, and to see na im still be oga for im craft, as im dey give us Stellar performance. Where Stella Damascus dey, you fit dey sure to see some kain genuine tears, wit scene wey dey emotional, and  she no gree old again.	positive
Perfection. . . .Dis wan na koret film wey everybodi sopose look!..I no even fit talk how e sweet reach, my mouth no go fit talk am finish.	positive
Fine. How dem actor open reach to take talk on dia relationships and wit some kain vex wen dem reach wey go fit make you dey emotional.	positive
E dey really gud, to sabi say dat hymn Amazing Grace  na write dem write am .	positive
Di film enter my bodi wella as to talk of  God's AMAZING GRACE! NA MUST TO SEE!!!	positive
No be say di plot fail to catch di viewer's attention, but di acting dey very poor, e no convince pesin at all'	negative
Dis movie lond and e dull too. Even di background music sef no dey interesting. And notin dey wey we fit use to save di movie.	negative
E get fine way wey I go use spoil your day	negative
E no dey settle at all	negative
Di subject in swallow go make anyone cry -- poverty, sexual harrassment, drug dealing, systematic corruption -- but di movie and all di characters dey flat and dey no get feelings. 	negative
Though di central performance dey impressively raw farming's ery no dey compromise hoplessness wey drown out di interesting tori, wey dey make am very hard than e suppose be.	negative
Di story no dey consistence and di spiritual nonsense dey very bad to be saved.	negative
Na everybodi dey insult us as we comot from there. Even pipu wey dey work for di cinema dey wey no pay sef dey hiss. E dey horrible.	negative
Equally powerful and uncomfortable, Farming na sharp reminder of di dangerous length wey self-hate fit lead to.	negative
A terrible way to start di year; 'Akpe' na mess.	negative
You fit no hate yourself say you dey watch ' Superstar' but you go dey feel dead & lifeless.	negative
E go dey unfair to all di cast and crew if I leave dis one out. E no dey unfair at all.	negative
Like other project wey dem no guide well, dem make 'Knock Out Blessing' to make di producer's proud rather than pleasing di Nigerians wey dey watch am	negative
Akinnuoye-Agbaje's little dull screenplay no dey catch di kain pesin wey Eni be.	negative
Fifty minutes to dey advertise holiday resort for Lagos, Movie closes. Money down di drain. E no dey recommended.	negative
Na real shame; 'The Island' na waste of amazing talent.	negative
if I tell you , say dis na spectacular movie, I dey lie ni.	negative
put lateness for one side, di real problem with 'Funke' be say e too boring and e no dey exciting.	negative
e no dey recommended! E too dry and e no dey fresh at all,	negative
ultimately, na bad offering wey dem no suppose bring come cinema.	negative
Production dey fine, hin dey above average too. Colour sef sharp. And acting sef no bad. Di problem be say di complete lack of intellectual strength in tori & di tori telling. A quick example go dey okay.	negative
di amount of crime wey dis 6 year old don commit over di course of dis film don too plenti to count	negative
E dey suitable for 14 years old. . Dem perfom am like a very clean Disney story. E dey limp and e dey blank.	negative
Free energy dey with some funny touches and moments, but e dey too big, with acting and directing styles wey dey little like afternoon TV	negative
Average. . Di plot dey too short and e dey predictable.	negative
But unfortunately, these shining moments dey to few and far between for dem to justify to dey serious money to see dis	negative
moreover di drama wey dey between Joseph to hin wife is played naturally but I feel say dis na more documentary then a movie…	negative
Consequently, rythms of long and short hisses just dey go one after di other from di audiences	negative
No one deserve to watch dis kain foolish movie	negative
E too boring, di tori no plenti, di soundtrack dey funny	negative
Add very bad ADR, and di acting na average and e bad join, abd you get bad dream	negative
E no go fully wrong at all once, but damned if di fim makers no use di thread and fall and stagger and pad dis tin until their Nollywood film na Bollywood length without di good sense, warmness or content to justify am.	negative
E dey very ugly and na low quality. E dey very boring and e dey downright stupid!	negative
A wrong first feature film, but e shows a great deal of promise	negative
Concerning dis popular movie #KOB I no fit say if e beta or e worst pass di remaining nollywood	negative
Made in Heaven' na stupid movie. E dey very stupid, e go irritate you so tey you dey laff out of total frustration. You go taya to dey watch am, you go kon dey see am like say you dey enjoy di foolishness wey dem dey do for di foolish movie. Very funny movie. Na complete rubbish!	negative
Di movie slow, di acting great and e contain small chills but di ending no dey forgivable.	negative
. In di absence of dat kain perfect storm, no chook your wallet for heart with dis 'Dagger'. . . E no dey recommended at all.	negative
When I talk am say di ginger for comedy don dey turn our content to shit, na di first example be dis.	negative
If you watched Chief Daddy: Going for broke wey dem go release on New year day for Netflix  and fast fast I don tink am say hin go be a contender for di worst movie of di year, know say no be your fault;	negative
Lazy and depressing!	negative
E too boring, di tori no plenti, di soundtrack dey funny	negative
The movie no too great, a bit of overreachingof di actors (maybe over-directed?) but di context great.	negative
Low quality for dat kain plenti money	negative
A good plot. Na terrible post-production.	negative
e no dey recommended	negative
Di story great, di acting poor.	negative
A star studded movie dey make stars look like say dem dey act for kindergarten play	negative
E no dey recommended.	negative
Foolish! Awful! Shameful! A glowing shame.	negative
As dis movie line upnso e wan make I like am by force, but hin dey difficult to enjoy in di middile of di dull screenwriting by Genevieve Nnaji.	negative
By sure, na one of di worst horror movies wey dem do be this..	negative
Talk about di acting though, di tori script, na sometin out of dis world	negative
Dem lie say na ''Horror'', 'Bridal Shower' na confam truth no be Horror-movie. Na stupid-movie- Na complete and utterly stupid!	negative
E dey wholesomely pointless - A desperate money grab.	negative
Major Disappointment	negative
e too dry	negative
E dey charming but e no dey competent	negative
Destroyed by technical malfeasance, 'The Perfect Picture' proves say hin go dey miles away from being perfect.	negative
Slow moving predictability. . Dis film belongs in di junior high circuit.	negative
but di sound and music dey very bad wey e destroy anytin wey good	negative
I no watch all of dis crap, Not even second rate, obviously racially inclined crap from an African nation wey no get film industry. 	negative
Di storyline good, di performance dey poor	negative
Di acting bad, dem dey repeat di soundtrack, di storyline was… (if one dey I for describe am here)'	negative
Di plot good, but di technical aspects no good at all	negative
A old-fashioned, clumsy handling of a book with (here untapped) depth	negative
Notin dey good about 'That Which Bind Us'. Absolutely notin.	negative
Production of dis movie tight but di heart dey missing	negative
Focus as dey for di relationship between Joseph and Suzy, di movie give us small information on di Feburary 13, 1976, killing, wey carry Olusegun Obasanjo to power. 	negative
Talk rubbish! Dem no be serious pipu. Abeg, no give dem your Naira.	negative
Na dis movie be di most depressing romantic comedy wey we don watch.	negative
Be like say na di worst acting ever in a movie wey like say dem use plenti money make am.	negative
E too slow. What a waste of time.	negative
I no fit believe say I spend 2 hours to watch dis movie	negative
I no too like dis movie	negative
PLOT DON ALMOST FINISH	negative
Di dialogue weak, di battle scenes no dey professional	negative
From poor directing, to crap story; acting wey dey questionable to di one wey no dey reasonable; di screenwriting dey shallow to editing wey bad..	negative
Dis movie dey ugly.	negative
Asides say e dey terrible predictable and hin dey feature acting wey dey below average, t is plagued be a be-fumbling series of ordinary attempts to recreate worn out crimes caper staples.s	negative
I hate as dem name dis movie	negative
E dey uninteresting and e dey dull, 'Efunsetan Aniwura' na exposé in gratuitously lazy and na painfully bad tori-telling	negative
I dey vex	negative
DI LACK OF LANDSCAPE POSTERS FOR NOLLYWOOD FILMS	negative
ABSOLUTE RUBBISH	negative
Dis film promised so much but e turn out	negative
Dem use smash bro's title cards to introduce di characters…	negative
Di movie just dey dead and slow throughout.	negative
Hin promise laff, but di comedy small and e try comot smile from our mouth rather than di confam laff wey you go expect when you come cinema for comedy.	negative
Abigail no ey very good, di bad guy na like moustache twister, and dem figure am out say e no dey alright make black pipu quick go back.	negative
Di leaad female role na huge disappointment.	negative
Di ending na di only sweet part of dis for me. E good for her	negative
A misrepresentation. . Dis na disgrace and bad disservice to CAN. Shame on dis ''film''.	negative
Di movie na very bad movie. 90s minutes of dissapointing sound editing and acting.	negative
Confused. . Shey na like dis a good movie be for Africa in 2012? If na like dis then… e great!i I suppose wonder ( in di case) if e dey better in 2021?	negative
. Knock Out Blessing' na useless movie wey dem no suppose do, or wey dem no suppose release for everybodi. Rubbish!	negative
E just long anyhow. . For me, 	negative
For actors wey no be professional wey no get direction from Akinropo. Di sound bad, maybe na because say dem no get boom mics	negative
Suga Suga get plenti eyes rolling scenes wey end in a dissapointing resolution of a weak conflict.	negative
Dishearteningly, Enitan don change from lost soul to a scholar and an artist get shoved into di final minutes over after all di hopelessness.	negative
My first Nigerian movie. . . For di past several years, I don come across a number of reports wey dem tell us about how di country of Nigeria get successful domestic film industry. While di fact interest me, I no see any Nigerian movies wey dey available for me to look until i see one for Netflix. make i no lie, i dey expect sometin wey dey very simple wey no get plenti skill, and to large degree dis na true. while there are some pretty good composed shotd and/or direction wey show dat at times wey some real efforts was being made by di filmmakers, di movie dey far from mistakes. Di cinematography no dey impressive, dem dey very little in di way of production values, and di acting by many of di performers no dey professional. Actually, i fit don forgive all dat had di movies's biggest problem wey no exist, dat being wey too long (121 minutes in length) and e dey too slow paced, Dis is a story wey dem suppose cut down either at di script or when  	negative
Unfortunately, we no fit bear cowboy pistols, space guns, cut & sow costumes, annoyingly film wey dey talentless and e dey unnecessarily long from remembrance ceremonies for footage wey dem show all buttered up funny revelations wey no dey intelligent of supposed - to - be shockers wey dey plain from di beginning.	negative
Unfortunately, di film dey formal and e dey slow with some daytime-soapy moments of emotional revelation	negative
The movie no too great, a bit of overreachingof di actors (maybe over-directed?) but di context great.	negative
Once upon a Night' na dud.	negative
As e dey, you no fit get sense of place or character because 	negative
Dis movie dey too boring for cinema	negative
Bad	negative
We call am Kidnap - dem hold hostage for fifty odd minutes, dem force us on an excursion of di resort grounds, e no dey recommended.	negative
Di lion no get plenti to roar. Shey pesin send their failed Netflix pilot script to Nigeria like say e be di losing super Bowl team's t-shirt?	negative
Forceful tori-telling and embarrassingly acting wey bad are di hallmarks of dis shabby pretender - e fit sound weird but; dis move na like counterfeit of 'Isoken'.	negative
Mumu movie. . Dis movie na joke.	negative
E dey very bad!. . Di is realistically di worst movie wey I don watch for my life!	negative
Action sequences no bad and hin heart dey di right place, but e dey quite painful to watch in places.	negative
Though di cinematography look like say e be professional, no let dis film fool you. Na disaster.	negative
E no get head, e no get tail, na bad script,na waste of time and na expensive rubbish. Di movie dey painful to watch. I no fit recommend am.	negative
 Dem dey lack deir star quality for dis movie	negative
lolz	negative
Verdit: e no dey recommended. 'Charmed' e no dey charming.	negative
So disappointed.. some acting moments from di main actors (king and Amina), but di actor wey dey support (Maladi), hard to tell if e dey funny relief bikos hin role suppose dey serious	negative
Rubbish! E no dey recommended for anybodi. Not even for children. Di movie dey very irritating.	negative
Hands down na one of of worst movies wey I don watch 	negative
Worst remake. . Poor directing dey fot di beginning during Ahannas flashbacks when hin witness a man wey dem set ablaze.	negative
Rubbish. . . . Na real bad quality form NETFLIX. Period!!    	negative
E dey too weak	negative
 I just skim dis. I no fit watch dis whole thing	negative
you go regret say you waste  your time to watch dis movie	negative
Poor	negative
E dey too basic	negative
Di millions' be essentially a shameless wholesale theft of 'Ocean's film series' scripts; we no dey impressed.	negative
Gbarada' na typical Idumota ''Yoruba film'' with all di craziness wey come with dat sub-section of Nollywood.	negative
Holy one of Isreal!. . Wetin Genevieve tink say she ust do? A movie? Dis na corruption in di highest. Di writers no sabi work.	negative
Di worst movie production ever	negative
Na nonesense	negative
Special jollof' na another cold turkey from Nollywood in Diaspora. And as usual, e dey highlighted by a yéyé tori and plenti of half hearted performance. Notin dey here to see. Na total waste of money and time. 	negative
I fit tell you with confidence say Luna taking a shift dey very interesting pass chief daddy 2	negative
I no realise how many plane crashes dey Nigeria, and dis film come out five days 	negative
Dis movie suppose better if to say dem used plenti money to produce am,	negative
Wth no modulating direction and no softness, dis one na long, hard persistent work wey go dey best appreciated by friends and family of those wey dey cast and crew.	negative
E no worth your time	negative
Talk rubbish. . E dey very rare say I dey give up on film, I no fit finish am, I give up after 30mins. No waste your time.	negative
Utimately dampening di film overall for what wey go don dey stronger, e dey honest and sad roller coaster.	negative
Unfortunately lack of attention to details no dey stop with di aforementioned examples.	negative
Di wait  dey full of stars, but e no dey shine  right. E be like say you dey taste a glass of wine wey never develop well, perhaps, dem make am with unripe grapes.	negative
Di movie dey very cheap.	negative
Dis film too dry and e dey terrible  	negative
Hallmarked by nonesense, 'The Culprit' don complete and talk rubbish!	negative
I just watch am for academic purposes.	negative
E too slow. Whick kain waste of time.	negative
E too boring.	negative
Dat movie too bad for Nollywood	negative
I catch di Nollywood bug as I dey watch Rattlesnake.	negative
With all hin funny exaggeration and acting performance wey dey flunctuate between over-acting and acting wey bad.	negative
Di production dey everywhere, and most character no dey fully developed.	negative
Na waste of time and resources	negative
You go hate am.	negative
di storyline dey beautiful BUT na hin waste my precious 2hrs	negative
Dem  fit try as hard as dem may; 'Your Excellency' proved extensively impotent, hin dey fail to deliver on its campaign promises	negative
Na total nonsense. . E no even worth being filmed. Actors dey weak, scripts was written by 12 year old. E get poor sound quality.	negative
Taking a beautiful, soap-opera route through di Nigerian civil war of di 1960s wey turn out to be a navigational error from which dis lavishly appointed production fit never recover fully.	negative
Dis wan fail to give us anytin e just dey boring. E no get any step by step flow	negative
Di acting no gud atall,but di film still sweet.	negative
Dis wan na No, No! di performance bad from di di main di main actor.	negative
E dey sweet, even though say na mess up	negative
Dis film  be like collection of ideas wey neva too develop wit some kain romance wey Dem put.	negative
Di film script no fit pass for high school amateur production.	negative
I no like dis film atall	negative
Di acting too bad and di wey dem write am even worst.	negative
Di acting just dull, dI dialogue inside just dey anyhow, as if dem dey remind di actor dem wetin Dem suppos yarn.	negative
Everytin about dis film  na low budget	negative
Dem plan am just to waste ur time!	negative
Na big mess	negative
Na only for broad Nollywood comedy mode shey e really feel convinces.	negative
charmed' no be charming...how ahbeg!	negative
Horrible...di show just dey go notin make sense inside at time.	negative
Di Fact say na musical make am very TERRIBLE.	negative
Complete fiction..Di acting worst and di tori no dey believable.	negative
LMAO	negative
Big disappointment, 'Levi' na drama wey no get purpose.	negative
"Di film dey remarkable as e no feel sori for im sef atall, but e make ""farming"" lack mercy for audience Dem face too."	negative
I dey convince e for beta as 10 to 30 minute short film  to test di wata.	negative
Drama wey no get porpose.	negative
Di intention gud but na novince attempt dem use  move di people wey dey watch	negative
Just imagine say u wan try run indomie without di spice .. . Dis film too bad so tey 5 minutes to di finishing u go still dey wonda say wetin dey hapin.	negative
U no fit believe di screenplay	negative
Dem just gum diffrend jokes togeda, memes and videos wey dem dey call comedy wey don cast  for Naija social media, call am dem own film and carry am go cinema. If you dey big ontop social media, u go don see many of dem, many time before... And you no go wan find dem to be funny here as di people wey produce am fail to win for copy copy, comeleave 'Social media  101' wahala for di bottom of di barrel acting, di dialogue dey very boring and di main di main na di horrible scene lighting. Dis one na one big bad thing!	negative
"Dis film  ugly. ""Ugly"" na di main word ."	negative
Anoda Naija film wey Dem use hype kill but e too empty. I no fit recomend am for anybodi.	negative
No be say dis wan too bad, but di script and how dem direct am na ein suffer am. 	negative
Di opening of di fim clash. Dem no create backtori for Laila appearance	negative
Di Tori telling too poor ....and Dem too rewrite history bikos of di film  plot.	negative
Delay. Unnecessary And no make sense.	negative
No b beta film  	negative
Dis film  no make for eye atall.	negative
Na pieces tori, pesin fit swear say na one primary sku pikin  just rush write am, wen Dem wan do last year presentation drama.	negative
 If sa you value your time, make you work hard make you dodge dis for di premium.	negative
Film fit bad, but make im important?	negative
If I be film Prof I kon dia try to  torture my student, I no fit think for better required screening.	negative
E too  long acting wey bad, wetin no get meanin too much.	negative
By force tori wit bad actin wey dey embarrassin wit di hallmark of dis shabby pretender.	negative
How film with dis subject matter wind up fit slow like dis and boring	negative
Dis one na tori wey get potential to critical acclaim, but as dem take do am poor and e make am easy to forget	negative
Dis film get small charisma pass 'Third Eye' series from nineties with Pa Olu Jacob. No put mouth for dis one	negative
Nollywood just dey disgrace us	negative
Survival of Jelili na pageantry rubbish wey dey vex person.	negative
For di conclusion for original chief Daddy film, de introduction for one new character for de last scene hinted for  sequel, but chief Daddy self take sophomore curse for one new level of low.	negative
E no suppose to end there...screenwriter wey no sabi work 	negative
Di plot no dey realistic atall and e dia for everiwhere 	negative
Na big waste for time and money	negative
Dis film dey lame, even children no go like ahm.	negative
